Time,rotX,rotY,rotZosboxe
1583287106613,0.2036435,-0.39453417,-0.6833018
1583287106662,-0.027074056,-0.26794627,-0.46853322
1583287106713,-0.26288867,-0.28618592,-0.22902106
1583287106763,-0.18512192,-0.39808702,-0.118650965
1583287106812,0.26137397,-0.47279963,-0.029854033
1583287106862,1.3746274,-0.25257012,0.35385084
1583287106913,2.27485,-0.024655215,1.1397033
1583287106963,1.8351338,0.37688595,1.7921437
1583287107012,0.57681054,0.47447494,1.8186258
1583287107063,-0.52808267,0.025270723,1.1536527
1583287107113,-1.0491596,-0.2563215,0.45265108
1583287107162,-0.14636274,-0.32884818,-0.07781594
1583287107212,0.68442106,-0.49892837,-0.42973363
1583287107262,0.5414247,-0.5689448,-0.6087373
1583287107312,0.36858013,-0.288141,-0.82954717
1583287107363,-0.5055278,0.025052264,-0.80363506
1583287107413,-0.57831424,0.06360356,-0.685521
1583287107462,-0.26950017,0.15995784,-0.6414776
1583287107512,-0.078552306,0.38231266,-0.64523655
1583287107563,-0.24842031,0.54457146,-0.62307036
1583287107612,-0.4629926,0.77645546,-0.547345
1583287107662,-0.59453315,0.9915007,-0.4282692
1583287107713,-0.46264496,1.195534,-0.32795274
1583287107763,0.10969256,1.0445344,-0.09732757
1583287107813,-0.107306674,0.8452593,0.29160416
1583287107862,-0.98939544,0.86166483,0.021348428
1583287107913,-0.782789,0.6085854,-0.6341296
1583287107963,-0.2727091,0.2530289,-1.060896
1583287108012,-0.19874331,-0.043772236,-1.2663133
1583287108062,0.15691957,-0.30515254,-1.219633
1583287108112,0.6272118,-0.5584352,-1.0298345
1583287108163,0.63118935,-0.7398346,-0.8181287
1583287108213,0.5590268,-0.750768,-0.62932956
1583287108263,0.76623535,-0.73074245,-0.37415814
1583287108312,1.030694,-0.64507705,-0.037564922
1583287108363,1.1648256,-0.5440545,0.20981856
1583287108412,1.2098664,-0.38965413,0.15085453
1583287108462,1.8814758,-0.26371711,-0.14993413
1583287108512,3.233446,-0.10121576,-0.3909667
1583287108563,4.5926995,0.3303694,-0.412993
1583287108613,4.6962023,1.1131043,-0.482124
1583287108662,3.0895257,2.8701253,-0.6583027
1583287108713,0.2929546,4.412795,-0.11817282
Time,rotX,rotY,rotZosboxe
1583287098762,-1.5806333,-0.89736366,0.8545477
1583287098813,0.33305752,-0.79653186,0.8345957
1583287098862,1.7277828,1.7349415,0.98034114
1583287098913,1.5068638,2.7319562,1.8205051
1583287098962,0.2635148,1.8151141,2.257211
1583287099012,-0.6937476,1.1246964,2.321922
1583287099063,-0.8206087,0.62710553,2.4771428
1583287099112,0.7974029,0.6142242,2.2342856
1583287099163,1.8157072,1.0353184,1.8042594
1583287099213,1.5435542,1.154295,1.5550516
1583287099263,0.71273357,1.1381191,1.5059452
1583287099313,-0.4018158,0.77794296,1.361392
1583287099363,-1.73824,0.32300135,0.5713359
1583287099412,-3.0046313,-0.28368714,-1.1738578
1583287099463,-2.0816526,-0.75919545,-2.921909
1583287099512,1.1619171,-1.47691,-3.9247565
1583287099563,3.0508144,-1.6697502,-3.770303
1583287099613,3.0272593,-1.4962903,-3.3826506
1583287099662,2.6706846,-1.2048682,-2.941784
1583287099713,1.9732037,-0.94577575,-2.1503716
1583287099763,0.49980035,-0.61871207,-1.166671
1583287099813,-0.33408567,-0.29993096,-0.3876685
1583287099863,-0.31625786,0.08567548,0.10031209
1583287099912,0.50814945,0.6490793,0.24265455
1583287099963,1.9418054,1.2349079,0.4871146
1583287100013,2.9265122,1.4102956,0.74256855
1583287100063,3.1561036,2.0344572,1.1080694
1583287100113,1.969265,2.6466348,1.3677793
1583287100162,0.53778535,2.665222,1.6551858
1583287100213,-0.7234356,2.4197788,2.0652063
1583287100263,-1.1324025,1.9167459,2.583985
1583287100312,-0.50566185,1.0951746,3.0494108
1583287100362,-0.14761779,0.31765193,3.2991366
1583287100412,-0.21491642,-0.14793138,3.3475473
1583287100462,-0.3880681,-0.6851986,2.6927018
1583287100512,-0.19489788,-1.4252521,0.62255615
1583287100563,0.84310764,-1.8104738,-1.6644999
1583287100612,2.2499332,-2.239696,-2.8014412
1583287100663,2.5570836,-2.2846422,-2.7456088
1583287100713,1.5840212,-2.3364136,-2.6183774
1583287100763,1.8797634,-2.1459863,-2.5729003
1583287100812,2.393968,-1.8861715,-2.2395172
1583287100862,1.642693,-1.7522379,-1.7322353
1583287100913,0.40009722,-1.2799486,-1.3736947
1583287100963,0.059382156,-0.7095227,-1.1352164
1583287101012,0.38382295,-0.25755143,-0.8852397
1583287101063,1.0413481,0.2704252,-0.48213294
1583287101113,1.8656713,1.0169843,0.24991404
1583287101163,1.95024,1.8307229,1.0803775
1583287101213,1.2885721,2.7532766,1.6989319
1583287101263,-0.13695832,3.136462,2.29852
1583287101313,-2.0231895,2.738354,2.9249988
1583287101362,-3.0286207,2.0622306,3.455997
1583287101413,-2.6825678,1.3618424,3.660349
1583287101463,-1.4166808,0.67844135,3.4894152
1583287101513,-0.16633342,0.069720864,2.8494
1583287101562,0.6101803,-0.42713466,1.7766029
1583287101612,1.2402968,-0.9577821,0.32553834
1583287101663,1.8619294,-1.4492661,-1.281118
1583287101712,2.0352755,-1.9555149,-2.525215
1583287101763,1.4312326,-2.2416542,-3.0022552
1583287101813,0.5740886,-2.248602,-3.0280497
1583287101862,0.14084485,-2.0066986,-2.9367762
1583287101912,-0.116399944,-1.662366,-2.8460379
1583287101963,-0.41595754,-1.5848153,-2.7593813
1583287102012,0.13545431,-1.5057294,-2.5531585
1583287102063,0.51043826,-1.1844916,-2.0063574
1583287102113,0.86924326,-0.98528713,-1.3888342
1583287102162,0.98859805,-0.4493356,-0.72542274
1583287102212,1.2282864,0.38587797,0.02878831
1583287102262,1.6274817,1.5482862,0.9342185
1583287102313,2.0511382,2.2763937,1.5895156
1583287102363,2.167783,2.9149814,1.848737
1583287102412,1.3001581,3.2435217,1.8707448
1583287102462,-1.0003762,3.1541731,2.059896
1583287102513,-2.7965996,2.5920708,2.7230477
1583287102563,-2.8294075,1.9047816,3.3032782
1583287102612,-1.943305,1.1837628,3.4189537
1583287102663,-0.8433507,0.48044044,2.9963284
1583287102713,0.07804891,-0.104940146,2.172487
1583287102762,0.6064494,-0.7017505,1.026536
1583287102812,1.0594803,-1.3721969,-0.55419284
1583287102862,2.0591726,-1.6300519,-2.095007
1583287102913,1.8050022,-1.9985414,-2.832866
1583287102962,0.3358511,-2.470296,-3.221282
1583287103013,-0.17914218,-2.458506,-3.2979767
1583287103062,0.20662282,-2.292622,-3.3018103
1583287103112,0.6416406,-2.0103939,-3.1879005
1583287103163,1.6999049,-1.629806,-2.742963
1583287103212,1.4086835,-1.1930563,-2.0553987
1583287103262,0.50764996,-0.7190637,-1.271583
1583287103313,-0.52226186,-0.2845354,-0.6536806
1583287103362,-0.25944114,0.29836702,-0.13674717
1583287103412,1.0104171,1.5213544,0.68931323
1583287103463,1.7293153,2.0384948,1.7871227
1583287103513,1.8559748,2.0662704,2.4114664
1583287103562,1.4068625,2.5511343,2.499284
1583287103613,0.4817423,2.7667575,2.286194
1583287103662,-0.4639503,2.5375597,2.0699337
1583287103713,-1.2150742,2.0578585,2.0878477
1583287103763,-1.5670828,1.5266781,2.2224376
1583287103812,-1.4226751,0.80032444,2.2392485
1583287103862,-0.65807116,0.025866337,2.0551586
1583287103913,0.043647096,-0.6385829,1.6839416
1583287103963,0.6358609,-1.18138,0.8020552
1583287104012,1.3361846,-1.4648035,-0.5158624
1583287104062,1.621605,-1.7482065,-1.6746669
1583287104113,0.95790595,-2.412978,-2.3605251
1583287104163,1.0715804,-2.5493302,-2.6904452
1583287104212,1.8988762,-2.3030398,-2.7065008
1583287104262,2.3710432,-2.367347,-2.5964098
1583287104313,1.9789643,-2.201254,-2.1813157
1583287104363,1.4580513,-1.7428705,-1.7370808
1583287104413,1.0042516,-1.0930331,-1.3103781
1583287104463,0.05111333,-0.4902405,-0.72865534
1583287104513,-0.63860595,5.0081266E-4,0.022104006
1583287104562,-0.33886033,0.7951768,0.7590238
1583287104612,0.09920193,1.6655484,1.4123889
1583287104662,0.5208195,1.8404149,1.8422364
1583287104712,0.711258,2.3540468,2.1520536
1583287104762,0.21163769,2.5899775,2.2699864
1583287104813,-0.8829085,2.5724297,2.597837
1583287104862,-2.1635256,2.0492857,3.001853
1583287104912,-2.7327921,1.1392049,3.1714623
1583287104963,-2.0998993,0.3767444,2.9145045
1583287105013,-0.7299673,-0.102703705,2.1545663
1583287105062,0.5226026,-0.38507748,0.79721
1583287105113,1.4384983,-0.5745338,-1.2506212
1583287105162,1.8484808,-0.9037108,-3.3677518
1583287105213,1.4713175,-1.685411,-4.508237
1583287105262,0.28919324,-2.0705462,-4.3324876
1583287105312,-0.70386845,-1.4897227,-3.7800539
1583287105362,0.019504173,-0.51901853,-3.2586272
1583287105412,1.2186201,-0.28035754,-2.7556708
1583287105462,2.159396,-0.26651597,-2.067266
1583287105513,1.7572083,-0.32359627,-1.2629474
1583287105563,0.8213989,-0.22146495,-0.42428106
1583287105612,0.10073356,0.056349203,0.30570316
1583287105662,0.24536175,0.30970708,0.90166306
1583287105712,1.0083702,0.508642,1.470377
1583287105762,1.844262,0.9564078,2.1695085
1583287105812,2.02533,0.9035958,2.7648757
1583287105862,1.8967419,1.1597832,3.182929
1583287105913,1.6133201,1.3511643,3.235778
1583287105963,1.0653603,1.4061284,2.9925218
1583287106012,0.3110318,1.1766753,2.5131967
1583287106063,-0.2161815,0.83325374,1.9492284
1583287106112,-0.21088871,0.39851904,1.2719651
1583287106163,0.15778431,-0.10606107,0.40503883
1583287106212,0.33650807,-0.6294739,-0.5667029
1583287106263,0.511326,-1.1816016,-1.5691676
1583287106313,1.1726191,-1.5486555,-2.3825207
1583287106362,1.8722119,-1.4841937,-2.3761225
1583287106412,1.4256119,-1.5316415,-1.7824708
1583287106462,0.50259256,-1.3523169,-1.1648678
1583287106513,6.4936094E-4,-0.8913772,-0.8720757
1583287106563,0.24089499,-0.4955228,-0.73299503
1583287106613,0.2036435,-0.39453417,-0.6833018
1583287106662,-0.027074056,-0.26794627,-0.46853322
1583287106713,-0.26288867,-0.28618592,-0.22902106
1583287106763,-0.18512192,-0.39808702,-0.118650965
1583287106812,0.26137397,-0.47279963,-0.029854033
1583287106862,1.3746274,-0.25257012,0.35385084
1583287106913,2.27485,-0.024655215,1.1397033
1583287106963,1.8351338,0.37688595,1.7921437
1583287107012,0.57681054,0.47447494,1.8186258
1583287107063,-0.52808267,0.025270723,1.1536527
1583287107113,-1.0491596,-0.2563215,0.45265108
1583287107162,-0.14636274,-0.32884818,-0.07781594
1583287107212,0.68442106,-0.49892837,-0.42973363
1583287107262,0.5414247,-0.5689448,-0.6087373
1583287107312,0.36858013,-0.288141,-0.82954717
1583287107363,-0.5055278,0.025052264,-0.80363506
1583287107413,-0.57831424,0.06360356,-0.685521
1583287107462,-0.26950017,0.15995784,-0.6414776
1583287107512,-0.078552306,0.38231266,-0.64523655
1583287107563,-0.24842031,0.54457146,-0.62307036
1583287107612,-0.4629926,0.77645546,-0.547345
1583287107662,-0.59453315,0.9915007,-0.4282692
1583287107713,-0.46264496,1.195534,-0.32795274
1583287107763,0.10969256,1.0445344,-0.09732757
1583287107813,-0.107306674,0.8452593,0.29160416
1583287107862,-0.98939544,0.86166483,0.021348428
1583287107913,-0.782789,0.6085854,-0.6341296
1583287107963,-0.2727091,0.2530289,-1.060896
1583287108012,-0.19874331,-0.043772236,-1.2663133
1583287108062,0.15691957,-0.30515254,-1.219633
1583287108112,0.6272118,-0.5584352,-1.0298345
1583287108163,0.63118935,-0.7398346,-0.8181287
1583287108213,0.5590268,-0.750768,-0.62932956
1583287108263,0.76623535,-0.73074245,-0.37415814
1583287108312,1.030694,-0.64507705,-0.037564922
1583287108363,1.1648256,-0.5440545,0.20981856
1583287108412,1.2098664,-0.38965413,0.15085453
1583287108462,1.8814758,-0.26371711,-0.14993413
1583287108512,3.233446,-0.10121576,-0.3909667
1583287108563,4.5926995,0.3303694,-0.412993
1583287108613,4.6962023,1.1131043,-0.482124
1583287108662,3.0895257,2.8701253,-0.6583027
1583287108713,0.2929546,4.412795,-0.11817282
Time,rotX,rotY,rotZosboxe
1583287098762,-1.5806333,-0.89736366,0.8545477
1583287098813,0.33305752,-0.79653186,0.8345957
1583287098862,1.7277828,1.7349415,0.98034114
1583287098913,1.5068638,2.7319562,1.8205051
1583287098962,0.2635148,1.8151141,2.257211
1583287099012,-0.6937476,1.1246964,2.321922
1583287099063,-0.8206087,0.62710553,2.4771428
1583287099112,0.7974029,0.6142242,2.2342856
1583287099163,1.8157072,1.0353184,1.8042594
1583287099213,1.5435542,1.154295,1.5550516
1583287099263,0.71273357,1.1381191,1.5059452
1583287099313,-0.4018158,0.77794296,1.361392
1583287099363,-1.73824,0.32300135,0.5713359
1583287099412,-3.0046313,-0.28368714,-1.1738578
1583287099463,-2.0816526,-0.75919545,-2.921909
1583287099512,1.1619171,-1.47691,-3.9247565
1583287099563,3.0508144,-1.6697502,-3.770303
1583287099613,3.0272593,-1.4962903,-3.3826506
1583287099662,2.6706846,-1.2048682,-2.941784
1583287099713,1.9732037,-0.94577575,-2.1503716
1583287099763,0.49980035,-0.61871207,-1.166671
1583287099813,-0.33408567,-0.29993096,-0.3876685
1583287099863,-0.31625786,0.08567548,0.10031209
1583287099912,0.50814945,0.6490793,0.24265455
1583287099963,1.9418054,1.2349079,0.4871146
1583287100013,2.9265122,1.4102956,0.74256855
1583287100063,3.1561036,2.0344572,1.1080694
1583287100113,1.969265,2.6466348,1.3677793
1583287100162,0.53778535,2.665222,1.6551858
1583287100213,-0.7234356,2.4197788,2.0652063
1583287100263,-1.1324025,1.9167459,2.583985
1583287100312,-0.50566185,1.0951746,3.0494108
1583287100362,-0.14761779,0.31765193,3.2991366
1583287100412,-0.21491642,-0.14793138,3.3475473
1583287100462,-0.3880681,-0.6851986,2.6927018
1583287100512,-0.19489788,-1.4252521,0.62255615
1583287100563,0.84310764,-1.8104738,-1.6644999
1583287100612,2.2499332,-2.239696,-2.8014412
1583287100663,2.5570836,-2.2846422,-2.7456088
1583287100713,1.5840212,-2.3364136,-2.6183774
1583287100763,1.8797634,-2.1459863,-2.5729003
1583287100812,2.393968,-1.8861715,-2.2395172
1583287100862,1.642693,-1.7522379,-1.7322353
1583287100913,0.40009722,-1.2799486,-1.3736947
1583287100963,0.059382156,-0.7095227,-1.1352164
1583287101012,0.38382295,-0.25755143,-0.8852397
1583287101063,1.0413481,0.2704252,-0.48213294
1583287101113,1.8656713,1.0169843,0.24991404
1583287101163,1.95024,1.8307229,1.0803775
1583287101213,1.2885721,2.7532766,1.6989319
1583287101263,-0.13695832,3.136462,2.29852
1583287101313,-2.0231895,2.738354,2.9249988
1583287101362,-3.0286207,2.0622306,3.455997
1583287101413,-2.6825678,1.3618424,3.660349
1583287101463,-1.4166808,0.67844135,3.4894152
1583287101513,-0.16633342,0.069720864,2.8494
1583287101562,0.6101803,-0.42713466,1.7766029
1583287101612,1.2402968,-0.9577821,0.32553834
1583287101663,1.8619294,-1.4492661,-1.281118
1583287101712,2.0352755,-1.9555149,-2.525215
1583287101763,1.4312326,-2.2416542,-3.0022552
1583287101813,0.5740886,-2.248602,-3.0280497
1583287101862,0.14084485,-2.0066986,-2.9367762
1583287101912,-0.116399944,-1.662366,-2.8460379
1583287101963,-0.41595754,-1.5848153,-2.7593813
1583287102012,0.13545431,-1.5057294,-2.5531585
1583287102063,0.51043826,-1.1844916,-2.0063574
1583287102113,0.86924326,-0.98528713,-1.3888342
1583287102162,0.98859805,-0.4493356,-0.72542274
1583287102212,1.2282864,0.38587797,0.02878831
1583287102262,1.6274817,1.5482862,0.9342185
1583287102313,2.0511382,2.2763937,1.5895156
1583287102363,2.167783,2.9149814,1.848737
1583287102412,1.3001581,3.2435217,1.8707448
1583287102462,-1.0003762,3.1541731,2.059896
1583287102513,-2.7965996,2.5920708,2.7230477
1583287102563,-2.8294075,1.9047816,3.3032782
1583287102612,-1.943305,1.1837628,3.4189537
1583287102663,-0.8433507,0.48044044,2.9963284
1583287102713,0.07804891,-0.104940146,2.172487
1583287102762,0.6064494,-0.7017505,1.026536
1583287102812,1.0594803,-1.3721969,-0.55419284
1583287102862,2.0591726,-1.6300519,-2.095007
1583287102913,1.8050022,-1.9985414,-2.832866
1583287102962,0.3358511,-2.470296,-3.221282
1583287103013,-0.17914218,-2.458506,-3.2979767
1583287103062,0.20662282,-2.292622,-3.3018103
1583287103112,0.6416406,-2.0103939,-3.1879005
1583287103163,1.6999049,-1.629806,-2.742963
1583287103212,1.4086835,-1.1930563,-2.0553987
1583287103262,0.50764996,-0.7190637,-1.271583
1583287103313,-0.52226186,-0.2845354,-0.6536806
1583287103362,-0.25944114,0.29836702,-0.13674717
1583287103412,1.0104171,1.5213544,0.68931323
1583287103463,1.7293153,2.0384948,1.7871227
1583287103513,1.8559748,2.0662704,2.4114664
1583287103562,1.4068625,2.5511343,2.499284
1583287103613,0.4817423,2.7667575,2.286194
1583287103662,-0.4639503,2.5375597,2.0699337
1583287103713,-1.2150742,2.0578585,2.0878477
1583287103763,-1.5670828,1.5266781,2.2224376
1583287103812,-1.4226751,0.80032444,2.2392485
1583287103862,-0.65807116,0.025866337,2.0551586
1583287103913,0.043647096,-0.6385829,1.6839416
1583287103963,0.6358609,-1.18138,0.8020552
1583287104012,1.3361846,-1.4648035,-0.5158624
1583287104062,1.621605,-1.7482065,-1.6746669
1583287104113,0.95790595,-2.412978,-2.3605251
1583287104163,1.0715804,-2.5493302,-2.6904452
1583287104212,1.8988762,-2.3030398,-2.7065008
1583287104262,2.3710432,-2.367347,-2.5964098
1583287104313,1.9789643,-2.201254,-2.1813157
1583287104363,1.4580513,-1.7428705,-1.7370808
1583287104413,1.0042516,-1.0930331,-1.3103781
1583287104463,0.05111333,-0.4902405,-0.72865534
1583287104513,-0.63860595,5.0081266E-4,0.022104006
1583287104562,-0.33886033,0.7951768,0.7590238
1583287104612,0.09920193,1.6655484,1.4123889
1583287104662,0.5208195,1.8404149,1.8422364
1583287104712,0.711258,2.3540468,2.1520536
1583287104762,0.21163769,2.5899775,2.2699864
1583287104813,-0.8829085,2.5724297,2.597837
1583287104862,-2.1635256,2.0492857,3.001853
1583287104912,-2.7327921,1.1392049,3.1714623
1583287104963,-2.0998993,0.3767444,2.9145045
1583287105013,-0.7299673,-0.102703705,2.1545663
1583287105062,0.5226026,-0.38507748,0.79721
1583287105113,1.4384983,-0.5745338,-1.2506212
1583287105162,1.8484808,-0.9037108,-3.3677518
1583287105213,1.4713175,-1.685411,-4.508237
1583287105262,0.28919324,-2.0705462,-4.3324876
1583287105312,-0.70386845,-1.4897227,-3.7800539
1583287105362,0.019504173,-0.51901853,-3.2586272
1583287105412,1.2186201,-0.28035754,-2.7556708
1583287105462,2.159396,-0.26651597,-2.067266
1583287105513,1.7572083,-0.32359627,-1.2629474
1583287105563,0.8213989,-0.22146495,-0.42428106
1583287105612,0.10073356,0.056349203,0.30570316
1583287105662,0.24536175,0.30970708,0.90166306
1583287105712,1.0083702,0.508642,1.470377
1583287105762,1.844262,0.9564078,2.1695085
1583287105812,2.02533,0.9035958,2.7648757
1583287105862,1.8967419,1.1597832,3.182929
1583287105913,1.6133201,1.3511643,3.235778
1583287105963,1.0653603,1.4061284,2.9925218
1583287106012,0.3110318,1.1766753,2.5131967
1583287106063,-0.2161815,0.83325374,1.9492284
1583287106112,-0.21088871,0.39851904,1.2719651
1583287106163,0.15778431,-0.10606107,0.40503883
1583287106212,0.33650807,-0.6294739,-0.5667029
1583287106263,0.511326,-1.1816016,-1.5691676
1583287106313,1.1726191,-1.5486555,-2.3825207
1583287106362,1.8722119,-1.4841937,-2.3761225
1583287106412,1.4256119,-1.5316415,-1.7824708
1583287106462,0.50259256,-1.3523169,-1.1648678
1583287106513,6.4936094E-4,-0.8913772,-0.8720757
1583287106563,0.24089499,-0.4955228,-0.73299503
1583287106613,0.2036435,-0.39453417,-0.6833018
1583287106662,-0.027074056,-0.26794627,-0.46853322
1583287106713,-0.26288867,-0.28618592,-0.22902106
1583287106763,-0.18512192,-0.39808702,-0.118650965
1583287106812,0.26137397,-0.47279963,-0.029854033
1583287106862,1.3746274,-0.25257012,0.35385084
1583287106913,2.27485,-0.024655215,1.1397033
1583287106963,1.8351338,0.37688595,1.7921437
1583287107012,0.57681054,0.47447494,1.8186258
1583287107063,-0.52808267,0.025270723,1.1536527
1583287107113,-1.0491596,-0.2563215,0.45265108
1583287107162,-0.14636274,-0.32884818,-0.07781594
1583287107212,0.68442106,-0.49892837,-0.42973363
1583287107262,0.5414247,-0.5689448,-0.6087373
1583287107312,0.36858013,-0.288141,-0.82954717
1583287107363,-0.5055278,0.025052264,-0.80363506
1583287107413,-0.57831424,0.06360356,-0.685521
1583287107462,-0.26950017,0.15995784,-0.6414776
1583287107512,-0.078552306,0.38231266,-0.64523655
1583287107563,-0.24842031,0.54457146,-0.62307036
1583287107612,-0.4629926,0.77645546,-0.547345
1583287107662,-0.59453315,0.9915007,-0.4282692
1583287107713,-0.46264496,1.195534,-0.32795274
1583287107763,0.10969256,1.0445344,-0.09732757
1583287107813,-0.107306674,0.8452593,0.29160416
1583287107862,-0.98939544,0.86166483,0.021348428
1583287107913,-0.782789,0.6085854,-0.6341296
1583287107963,-0.2727091,0.2530289,-1.060896
1583287108012,-0.19874331,-0.043772236,-1.2663133
1583287108062,0.15691957,-0.30515254,-1.219633
1583287108112,0.6272118,-0.5584352,-1.0298345
1583287108163,0.63118935,-0.7398346,-0.8181287
1583287108213,0.5590268,-0.750768,-0.62932956
1583287108263,0.76623535,-0.73074245,-0.37415814
1583287108312,1.030694,-0.64507705,-0.037564922
1583287108363,1.1648256,-0.5440545,0.20981856
1583287108412,1.2098664,-0.38965413,0.15085453
1583287108462,1.8814758,-0.26371711,-0.14993413
1583287108512,3.233446,-0.10121576,-0.3909667
1583287108563,4.5926995,0.3303694,-0.412993
1583287108613,4.6962023,1.1131043,-0.482124
1583287108662,3.0895257,2.8701253,-0.6583027
1583287108713,0.2929546,4.412795,-0.11817282
