Time,accX,accY,accZ
1583288249362,6.8463664,5.795297,3.6178348
1583288249413,7.0180197,5.8594785,3.8841436
1583288249463,7.1915126,5.731889,3.8136735
1583288249513,6.9057183,4.913185,4.697003
1583288249562,6.6369786,5.2418633,5.9313087
1583288249613,6.399423,5.3129253,6.7138267
1583288249663,6.2807674,4.240733,6.2588387
1583288249713,7.1696687,3.0317292,5.387702
1583288249763,6.649357,4.819506,6.5744853
1583288249812,6.432609,4.557444,6.6565795
1583288249862,6.9690113,3.9325683,5.192447
1583288249913,7.2449026,5.140756,5.032239
1583288249963,7.386041,5.782664,4.3926015
1583288250012,7.559005,5.5958204,3.6697295
1583288250063,7.502002,5.629337,3.5582304
1583288250113,7.490417,6.0133567,3.3869822
1583288250162,7.6524863,5.9477196,2.8138003
1583288250213,7.6308117,6.5649157,2.7345817
1583288250263,7.5394225,6.440574,2.0509624
1583288250312,7.548384,6.301362,1.451112
1583288250362,7.56329,6.46789,0.67498815
1583288250412,7.4552546,6.8770704,-0.37598592
1583288250462,7.4317536,7.24165,-1.6044791
1583288250513,6.8537006,8.357671,-2.3143475
1583288250563,6.866132,7.614938,-2.864138
1583288250613,6.9261546,7.1846557,-3.9619126
1583288250663,7.026076,7.025834,-5.286785
1583288250712,7.1720176,5.9707055,-5.613419
1583288250762,7.394451,5.4371433,-5.2851496
1583288250812,7.5633235,5.226181,-4.6940346
1583288250862,7.942689,4.2421002,-4.038824
1583288250913,8.055059,4.1036873,-3.0719883
1583288250963,8.349472,3.9244869,-2.5141954
1583288251012,8.511449,4.1399846,-2.4751759
1583288251062,8.604973,3.8656247,-2.941486
1583288251113,8.548944,4.0287232,-3.4697113
1583288251163,8.571353,3.8539412,-3.002227
1583288251212,8.4004755,4.3878818,-2.9756198
1583288251263,8.423905,4.0139074,-4.401975
1583288251312,8.225256,4.2149653,-4.7015195
1583288251362,8.167282,4.43605,-3.9312763
1583288251413,7.9589767,4.9514117,-3.9201884
1583288251462,7.86579,5.292718,-4.647881
1583288251512,8.077285,5.028318,-4.9602485
1583288251562,8.129176,5.6230984,-4.018577
1583288251612,8.343516,5.3026514,-2.6735091
1583288251663,8.353285,5.614044,-1.7251894
1583288251712,8.310819,4.983743,-1.186536
1583288251763,8.162493,5.295017,-0.15359598
1583288251812,7.903338,4.956612,0.79293114
1583288251862,8.080616,2.2254775,1.0615506
1583288251912,7.5304503,4.026837,-1.6131617
1583288251963,7.4782906,2.7569518,-2.727904
1583288252013,5.9444795,4.2906065,-3.9672985
1583288252062,5.034883,6.818883,-5.753082
1583288252113,4.4332466,9.662482,-6.4229875
1583288252163,3.9421906,12.058831,-2.3375926
1583288252212,0.27845645,7.77401,4.436446
1583288252262,-0.1804771,5.0037866,9.68586
1583288252312,-0.8733621,7.60977,9.672724
1583288252362,-0.88846135,5.6869874,9.912945
1583288252412,-0.78507894,6.002264,9.841794
1583288252462,-0.30318546,5.398047,8.866418
1583288252513,-0.4533078,4.9136634,8.416657
1583288252562,-1.1195335,5.8685107,8.889659
1583288252612,-0.83832335,5.9641676,8.820229
1583288252662,-0.51384383,5.5049963,8.249442
1583288252713,-0.4699607,5.647189,8.055169
1583288252762,-0.46474707,6.1708107,8.0945635
1583288252812,-0.41914406,6.203985,8.038563
1583288252863,-0.3032766,6.052428,8.089145
1583288252912,-0.26924494,6.1449523,8.207505
1583288252963,-0.32687658,6.104548,8.20369
1583288253013,-0.41675895,5.404499,7.666021
1583288253063,-0.31235063,5.677571,7.719392
1583288253113,-0.18473244,6.388463,8.06422
1583288253163,-0.11999144,6.6236205,8.510167
1583288253212,-0.15564185,6.263995,7.968663
1583288253262,-0.10859699,5.918895,7.443761
1583288253312,-0.15121202,6.4008822,7.7154255
1583288253363,-0.122200996,6.8092766,7.846927
1583288253412,-0.08297953,6.8544793,7.611965
1583288253462,-0.06411895,6.6932344,7.3438964
1583288253513,0.0040211603,6.7094884,7.2923307
1583288253562,-0.009154186,6.760487,7.4358807
1583288253612,-0.012231293,6.717506,7.5580835
1583288253663,-0.06057111,6.691938,7.608993
1583288253712,-0.076043725,6.667183,7.531541
1583288253762,-0.104861915,6.74635,7.5536523
1583288253813,-0.104671404,6.749021,7.7235336
1583288253863,-0.17120555,6.55209,8.085266
1583288253913,-0.413243,6.621458,8.619136
1583288253962,-0.54301274,7.4816074,8.514454
1583288254013,-0.12402335,8.776749,7.0602837
1583288254062,0.47023898,9.813412,4.922127
1583288254112,1.4009696,9.112055,3.2424095
1583288254163,2.4976,7.781519,2.1071057
1583288254213,2.4238627,8.342482,2.1760147
1583288254263,2.8295074,8.35931,1.9851953
1583288254313,2.501043,9.271252,1.7373383
1583288254362,2.3802216,11.003914,1.1575209
1583288254413,2.604312,10.910548,0.55165946
1583288254462,2.6567824,10.0566845,0.10541854
1583288254513,3.0988338,9.564555,-0.33954367
1583288254562,3.4716475,9.421106,-0.5152846
1583288254613,3.336725,10.07786,0.34794682
1583288254663,3.2928379,10.362605,0.7231471
1583288254713,3.2097723,10.0204525,1.616428
1583288254762,3.1281312,9.359444,2.5167532
1583288254813,2.974129,8.288578,3.3772783
1583288254863,3.4186623,8.510592,3.4371376
1583288254912,3.6805124,9.48899,2.804214
1583288254962,3.6455827,8.8537035,3.196745
1583288255012,3.6113548,8.482209,3.6833937
Time,accX,accY,accZ
1583288245063,-8.792036,19.61361,-7.078721
1583288245113,-6.0410814,17.293846,-10.05942
1583288245162,-5.6745033,13.301869,-14.64308
1583288245212,-3.7635665,8.889956,-17.199997
1583288245262,-3.9059482,3.9037883,-17.22442
1583288245312,-4.1160574,-1.1699592,-17.047178
1583288245363,-3.1999733,-1.8537588,-13.638487
1583288245412,1.0674443,-2.4778657,-13.261725
1583288245462,-0.98757815,-3.6703162,-10.753718
1583288245512,-1.9469106,-5.5621223,-7.526429
1583288245562,-0.94645697,-6.2203693,-4.9389596
1583288245613,-0.41585338,-5.1705427,-2.9754295
1583288245663,0.008749664,-3.1641395,-0.97607434
1583288245713,0.46561152,-2.1774359,0.9114229
1583288245762,0.53949815,-0.89188826,3.3439682
1583288245812,-0.3408072,0.54070485,3.6137135
1583288245863,-1.9072964,2.8783555,2.7730403
1583288245912,-3.6749983,5.992927,1.3840272
1583288245962,-6.0720735,8.52857,0.5384398
1583288246013,-9.179974,12.983876,-1.5484405
1583288246062,-13.336939,18.073193,-2.643572
1583288246113,-13.897169,20.722813,-3.8540328
1583288246162,-10.737161,21.305506,-5.538718
1583288246213,-7.8312674,18.750254,-8.204382
1583288246263,-5.848564,15.251522,-10.890914
1583288246312,-5.0673923,11.043866,-12.765199
1583288246363,-5.4401712,7.904446,-12.777591
1583288246412,-4.6381807,4.5705786,-13.242801
1583288246462,-2.8803446,1.95444,-14.940127
1583288246513,-2.3663795,0.7155189,-13.85779
1583288246563,-1.7567194,-0.9331036,-12.448112
1583288246612,-0.42910343,-1.2443318,-10.54841
1583288246663,0.868835,-1.7494558,-8.611834
1583288246712,1.6347135,-2.4376564,-7.148708
1583288246762,2.7625632,-3.827664,-5.657469
1583288246812,3.2413843,-5.9164324,-5.510003
1583288246863,2.4376805,-3.5047643,-2.7625477
1583288246912,2.2905722,-2.218242,-0.6870388
1583288246962,1.9196147,-2.274857,1.2477481
1583288247013,1.0945026,-2.7127886,0.109880924
1583288247062,-1.8179065,-0.16463876,-0.24281281
1583288247112,-2.5472608,4.4110355,0.51512194
1583288247162,-2.7156022,8.955619,-0.7583939
1583288247212,-1.7757353,14.402887,-2.2302544
1583288247262,2.5077262,18.314264,-3.830323
1583288247313,5.008728,19.145723,-6.369806
1583288247362,5.866641,19.282625,-7.00769
1583288247412,5.184496,16.618153,-5.0449963
1583288247462,4.6179676,13.142785,-2.7209344
1583288247512,3.9366045,10.735982,-1.1315441
1583288247562,2.4249654,9.379595,0.38961875
1583288247612,0.966301,8.7173195,1.2363837
1583288247663,-0.5594771,7.9576063,1.6382891
1583288247712,-2.6930318,8.930656,2.0521827
1583288247762,-4.794943,7.6608763,3.6300266
1583288247812,-6.13345,9.946636,3.7156763
1583288247862,-4.8107023,14.7211,-0.5871346
1583288247913,-1.7372599,11.418604,-0.61404157
1583288247963,0.15529695,8.847112,0.910472
1583288248013,0.44174922,10.834301,3.019889
1583288248062,0.6816655,9.228386,3.9879963
1583288248112,-0.44238,8.831403,5.379533
1583288248162,-1.2792284,10.008651,6.6893444
1583288248213,-1.9093002,9.197005,8.539165
1583288248262,-0.082654595,8.93991,9.671883
1583288248313,3.9424691,11.965809,8.620062
1583288248363,4.525515,9.747039,5.3038692
1583288248412,4.383116,5.7229686,2.1607628
1583288248463,3.5630631,3.4946132,0.02711153
1583288248513,1.5994757,4.7627077,-0.11180425
1583288248562,-0.119463205,7.298929,1.3404036
1583288248612,1.5121946,8.049167,2.5715404
1583288248662,1.8609183,8.073825,3.9208293
1583288248713,3.101751,7.0981507,5.38995
1583288248762,4.3803024,10.706391,4.3424873
1583288248812,0.113438874,13.3656,2.0400193
1583288248862,1.3468068,11.326967,2.0603452
1583288248912,2.2060049,9.781354,2.0336006
1583288248963,2.0486538,12.812432,2.7056112
1583288249012,2.8951104,12.449932,2.1876214
1583288249062,3.419955,11.720287,1.8009473
1583288249112,4.099222,7.857815,2.6787858
1583288249162,4.3823247,5.8644757,4.0136175
1583288249212,5.2741137,6.7063212,3.8751464
1583288249262,5.9387126,6.4720845,3.7964082
1583288249312,6.427869,6.1866884,3.6421013
1583288249362,6.8463664,5.795297,3.6178348
1583288249413,7.0180197,5.8594785,3.8841436
1583288249463,7.1915126,5.731889,3.8136735
1583288249513,6.9057183,4.913185,4.697003
1583288249562,6.6369786,5.2418633,5.9313087
1583288249613,6.399423,5.3129253,6.7138267
1583288249663,6.2807674,4.240733,6.2588387
1583288249713,7.1696687,3.0317292,5.387702
1583288249763,6.649357,4.819506,6.5744853
1583288249812,6.432609,4.557444,6.6565795
1583288249862,6.9690113,3.9325683,5.192447
1583288249913,7.2449026,5.140756,5.032239
1583288249963,7.386041,5.782664,4.3926015
1583288250012,7.559005,5.5958204,3.6697295
1583288250063,7.502002,5.629337,3.5582304
1583288250113,7.490417,6.0133567,3.3869822
1583288250162,7.6524863,5.9477196,2.8138003
1583288250213,7.6308117,6.5649157,2.7345817
1583288250263,7.5394225,6.440574,2.0509624
1583288250312,7.548384,6.301362,1.451112
1583288250362,7.56329,6.46789,0.67498815
1583288250412,7.4552546,6.8770704,-0.37598592
1583288250462,7.4317536,7.24165,-1.6044791
1583288250513,6.8537006,8.357671,-2.3143475
1583288250563,6.866132,7.614938,-2.864138
1583288250613,6.9261546,7.1846557,-3.9619126
1583288250663,7.026076,7.025834,-5.286785
1583288250712,7.1720176,5.9707055,-5.613419
1583288250762,7.394451,5.4371433,-5.2851496
1583288250812,7.5633235,5.226181,-4.6940346
1583288250862,7.942689,4.2421002,-4.038824
1583288250913,8.055059,4.1036873,-3.0719883
1583288250963,8.349472,3.9244869,-2.5141954
1583288251012,8.511449,4.1399846,-2.4751759
1583288251062,8.604973,3.8656247,-2.941486
1583288251113,8.548944,4.0287232,-3.4697113
1583288251163,8.571353,3.8539412,-3.002227
1583288251212,8.4004755,4.3878818,-2.9756198
1583288251263,8.423905,4.0139074,-4.401975
1583288251312,8.225256,4.2149653,-4.7015195
1583288251362,8.167282,4.43605,-3.9312763
1583288251413,7.9589767,4.9514117,-3.9201884
1583288251462,7.86579,5.292718,-4.647881
1583288251512,8.077285,5.028318,-4.9602485
1583288251562,8.129176,5.6230984,-4.018577
1583288251612,8.343516,5.3026514,-2.6735091
1583288251663,8.353285,5.614044,-1.7251894
1583288251712,8.310819,4.983743,-1.186536
1583288251763,8.162493,5.295017,-0.15359598
1583288251812,7.903338,4.956612,0.79293114
1583288251862,8.080616,2.2254775,1.0615506
1583288251912,7.5304503,4.026837,-1.6131617
1583288251963,7.4782906,2.7569518,-2.727904
1583288252013,5.9444795,4.2906065,-3.9672985
1583288252062,5.034883,6.818883,-5.753082
1583288252113,4.4332466,9.662482,-6.4229875
1583288252163,3.9421906,12.058831,-2.3375926
1583288252212,0.27845645,7.77401,4.436446
1583288252262,-0.1804771,5.0037866,9.68586
1583288252312,-0.8733621,7.60977,9.672724
1583288252362,-0.88846135,5.6869874,9.912945
1583288252412,-0.78507894,6.002264,9.841794
1583288252462,-0.30318546,5.398047,8.866418
1583288252513,-0.4533078,4.9136634,8.416657
1583288252562,-1.1195335,5.8685107,8.889659
1583288252612,-0.83832335,5.9641676,8.820229
1583288252662,-0.51384383,5.5049963,8.249442
1583288252713,-0.4699607,5.647189,8.055169
1583288252762,-0.46474707,6.1708107,8.0945635
1583288252812,-0.41914406,6.203985,8.038563
1583288252863,-0.3032766,6.052428,8.089145
1583288252912,-0.26924494,6.1449523,8.207505
1583288252963,-0.32687658,6.104548,8.20369
1583288253013,-0.41675895,5.404499,7.666021
1583288253063,-0.31235063,5.677571,7.719392
1583288253113,-0.18473244,6.388463,8.06422
1583288253163,-0.11999144,6.6236205,8.510167
1583288253212,-0.15564185,6.263995,7.968663
1583288253262,-0.10859699,5.918895,7.443761
1583288253312,-0.15121202,6.4008822,7.7154255
1583288253363,-0.122200996,6.8092766,7.846927
1583288253412,-0.08297953,6.8544793,7.611965
1583288253462,-0.06411895,6.6932344,7.3438964
1583288253513,0.0040211603,6.7094884,7.2923307
1583288253562,-0.009154186,6.760487,7.4358807
1583288253612,-0.012231293,6.717506,7.5580835
1583288253663,-0.06057111,6.691938,7.608993
1583288253712,-0.076043725,6.667183,7.531541
1583288253762,-0.104861915,6.74635,7.5536523
1583288253813,-0.104671404,6.749021,7.7235336
1583288253863,-0.17120555,6.55209,8.085266
1583288253913,-0.413243,6.621458,8.619136
1583288253962,-0.54301274,7.4816074,8.514454
1583288254013,-0.12402335,8.776749,7.0602837
1583288254062,0.47023898,9.813412,4.922127
1583288254112,1.4009696,9.112055,3.2424095
1583288254163,2.4976,7.781519,2.1071057
1583288254213,2.4238627,8.342482,2.1760147
1583288254263,2.8295074,8.35931,1.9851953
1583288254313,2.501043,9.271252,1.7373383
1583288254362,2.3802216,11.003914,1.1575209
1583288254413,2.604312,10.910548,0.55165946
1583288254462,2.6567824,10.0566845,0.10541854
1583288254513,3.0988338,9.564555,-0.33954367
1583288254562,3.4716475,9.421106,-0.5152846
1583288254613,3.336725,10.07786,0.34794682
1583288254663,3.2928379,10.362605,0.7231471
1583288254713,3.2097723,10.0204525,1.616428
1583288254762,3.1281312,9.359444,2.5167532
1583288254813,2.974129,8.288578,3.3772783
1583288254863,3.4186623,8.510592,3.4371376
1583288254912,3.6805124,9.48899,2.804214
1583288254962,3.6455827,8.8537035,3.196745
1583288255012,3.6113548,8.482209,3.6833937
