Time,accX,accY,accZ
1583286085838,0.4550991,0.067258,9.948211
1583286085887,0.46275416,0.06958473,9.94258
1583286085937,0.46481743,0.06432393,9.940517
1583286085987,0.46525243,0.06361296,9.938936
1583286086037,0.4677515,0.06836922,9.933434
1583286086088,0.46303,0.06257123,9.935153
1583286086137,0.46363804,0.059393965,9.929042
1583286086187,0.4581695,0.0625042,9.941157
1583286086237,0.46352634,0.065428354,9.940589
1583286086287,0.45339093,0.06965102,9.935192
1583286086337,0.46163175,0.06313138,9.939979
1583286086388,0.4530771,0.059770096,9.937432
1583286086438,0.4561095,0.059041493,9.929546
1583286086488,0.46268332,0.06467771,9.938045
1583286086537,0.455774,0.05867405,9.946765
1583286086587,0.4596876,0.05658502,9.942588
1583286086637,0.459135,0.065327026,9.939032
1583286086687,0.45350316,0.07192434,9.933415
1583286086737,0.455774,0.068921454,9.942574
1583286086787,0.45711344,0.06859745,9.938923
1583286086837,0.46401003,0.061866116,9.941926
1583286086888,0.45848674,0.05831049,9.944452
1583286086937,0.4621962,0.06802231,9.939979
1583286086987,0.4591933,0.07102521,9.9358635
1583286087037,0.4660859,0.0700699,9.930813
1583286087088,0.460183,0.062658004,9.9508095
1583286087137,0.4565724,0.065660894,9.938381
1583286087188,0.4581695,0.0658522,9.939979
1583286087237,0.4621959,0.066875696,9.941992
1583286087288,0.45772442,0.056615688,9.953684
1583286087338,0.45420069,0.06800911,9.943876
1583286087388,0.46291596,0.06343411,9.944725
1583286087437,0.4697873,0.06857436,9.939382
1583286087487,0.45742643,0.059823815,9.938078
1583286087537,0.45183808,0.06195141,9.940664
1583286087588,0.45191714,0.066730775,9.941967
1583286087638,0.4592615,0.058653615,9.946838
1583286087688,0.46240062,0.061627176,9.929401
1583286087737,0.45728216,0.05882986,9.9408655
1583286087787,0.45876348,0.06635723,9.943869
1583286087837,0.46476927,0.067258,9.936361
1583286087887,0.45066896,0.06662994,9.940292
1583286087938,0.4522704,0.06338772,9.944216
1583286087988,0.4551155,0.06791649,9.947165
1583286088038,0.44910973,0.063250326,9.947165
1583286088087,0.45476365,0.062467,9.943384
1583286088137,0.4620061,0.060558163,9.939005
1583286088187,0.45900327,0.059237722,9.940084
1583286088237,0.456001,0.062239986,9.94192
1583286088287,0.46333972,0.05919279,9.956489
1583286088338,0.46437567,0.06921863,9.937472
1583286088387,0.45978507,0.062522724,9.933572
1583286088438,0.4581695,0.059871107,9.939578
1583286088487,0.45821607,0.06364147,9.935187
1583286088537,0.4671038,0.057676,9.940259
1583286088587,0.47269133,0.064163215,9.937434
1583286088638,0.466196,0.06280301,9.94393
1583286088687,0.47058627,0.06921424,9.935826
1583286088738,0.4694025,0.067258,9.9353285
1583286088788,0.46866414,0.067258,9.936499
1583286088838,0.470147,0.05821217,9.941838
1583286088888,0.461511,0.06483197,9.942405
1583286088938,0.46211922,0.07120774,9.937108
1583286088987,0.46154213,0.062199045,9.94406
1583286089038,0.4629605,0.06236522,9.935595
1583286089087,0.46069756,0.062467,9.935693
1583286089138,0.47459906,0.059127964,9.93647
1583286089187,0.46424532,0.06216213,9.952392
1583286089238,0.47213632,0.0625347,9.947503
1583286089287,0.46110186,0.06325192,9.948775
1583286089337,0.46982312,0.06453862,9.946345
1583286089387,0.46684033,0.063304685,9.939332
1583286089437,0.4629605,0.06714176,9.935265
1583286089487,0.46718565,0.06682424,9.935621
1583286089538,0.46182784,0.062380202,9.941241
1583286089588,0.45638606,0.06547455,9.932232
1583286089637,0.45816484,0.060080808,9.942351
1583286089687,0.45697856,0.061276063,9.9417715
1583286089738,0.46539822,0.0648625,9.93877
1583286089788,0.46106845,0.0630468,9.94303
1583286089837,0.4629881,0.076619186,9.942374
1583286089887,0.464086,0.057676,9.943644
1583286089937,0.460565,0.061400346,9.947165
1583286089987,0.46426374,0.06671188,9.934219
1583286090037,0.4652327,0.06252865,9.937583
1583286090087,0.460565,0.06419524,9.940252
1583286090137,0.4618387,0.06374068,9.950986
1583286090188,0.45731553,0.06674416,9.946825
1583286090238,0.4677515,0.06237305,9.937489
1583286090287,0.46564746,0.0600715,9.939395
1583286090337,0.4631591,0.0600715,9.953451
1583286090387,0.4615698,0.05817839,9.93403
1583286090437,0.45837873,0.07392139,9.937374
1583286090488,0.46011242,0.06175498,9.934216
1583286090537,0.4520591,0.06402975,9.937583
1583286090587,0.4606171,0.06340437,9.935656
1583286090638,0.45591098,0.06075642,9.93067
1583286090688,0.4589156,0.06757233,9.938172
1583286090737,0.4592125,0.057676,9.94477
1583286090787,0.45621043,0.057676,9.940851
1583286090837,0.45662886,0.06520444,9.949903
1583286090887,0.46619478,0.0696535,9.951238
1583286090938,0.46711782,0.06826773,9.9419985
1583286090988,0.45818803,0.06327167,9.947951
1583286091038,0.4647408,0.06267206,9.944155
1583286091087,0.45492214,0.06729801,9.935147
1583286091138,0.4599317,0.07488505,9.940322
1583286091187,0.46370068,0.06671289,9.943114
1583286091237,0.46511868,0.060308818,9.947165
1583286091287,0.46211708,0.062467,9.942947
1583286091337,0.46492353,0.06537268,9.940999
1583286091388,0.4574282,0.058999337,9.946834
1583286091438,0.46010572,0.06403268,9.933621
1583286091488,0.4731719,0.05679294,9.943511
1583286091537,0.46269464,0.061242387,9.937636
1583286091587,0.47075257,0.060668144,9.940883
1583286091637,0.46234235,0.06578973,9.94477
1583286091688,0.45908597,0.07021605,9.945686
1583286091738,0.45294565,0.065734126,9.9456415
1583286091788,0.45711255,0.062731236,9.942638
1583286091838,0.46364316,0.06656916,9.942721
1583286091888,0.46490532,0.06735268,9.934191
1583286091938,0.45900887,0.054441128,9.939979
1583286091987,0.46033302,0.06177108,9.9421425
1583286092038,0.46018958,0.06688257,9.93946
1583286092087,0.46210077,0.062896855,9.944646
1583286092138,0.4629845,0.063249506,9.934404
1583286092188,0.45397764,0.06925407,9.934988
1583286092237,0.45419323,0.06368911,9.943645
1583286092288,0.4581695,0.06661144,9.952412
1583286092337,0.46141446,0.06408948,9.939979
1583286092387,0.44961008,0.060412355,9.944429
1583286092438,0.4677515,0.061817907,9.944545
1583286092487,0.4667083,0.0665239,9.930706
1583286092538,0.45875776,0.06411656,9.92965
1583286092587,0.46480185,0.06711946,9.93491
1583286092637,0.4581695,0.061060425,9.941385
1583286092687,0.45924574,0.06173804,9.947165
1583286092737,0.46224737,0.07133587,9.938753
1583286092787,0.46753895,0.044578373,9.942056
1583286092838,0.46675003,0.05538867,9.939979
1583286092888,0.46185297,0.067077555,9.938871
1583286092937,0.460565,0.0645097,9.935868
1583286092988,0.460565,0.05782049,9.939834
1583286093037,0.4690766,0.06832842,9.949306
1583286093088,0.4642134,0.07090639,9.951035
1583286093137,0.46121183,0.06265885,9.937775
1583286093188,0.460565,0.055356756,9.946974
1583286093238,0.46069065,0.05824346,9.953091
1583286093287,0.4569031,0.0600715,9.956747
1583286093338,0.4516537,0.0600715,9.9514
1583286093388,0.4553162,0.06231439,9.94956
1583286093438,0.4658008,0.0600715,9.946275
1583286093487,0.4635427,0.06428031,9.944478
1583286093537,0.4581695,0.0696535,9.947165
1583286093588,0.45363897,0.060592443,9.9449005
1583286093637,0.45146006,0.062467,9.940455
1583286093688,0.45663187,0.062467,9.94129
1583286093737,0.4571813,0.060775142,9.936595
1583286093788,0.4603725,0.062370755,9.939786
1583286093838,0.4533785,0.068634085,9.935697
1583286093888,0.45896697,0.0648625,9.938701
1583286093938,0.46018365,0.06658661,9.948599
1583286093988,0.45117494,0.06958952,9.935636
1583286094037,0.45925632,0.056910727,9.939435
1583286094087,0.46065888,0.06591943,9.939885
1583286094137,0.46520233,0.059104275,9.935341
1583286094188,0.46538588,0.060011704,9.932792
1583286094238,0.460565,0.06610388,9.938825
1583286094288,0.45819888,0.058917806,9.935187
1583286094338,0.45756444,0.06065189,9.936978
1583286094388,0.460565,0.07191908,9.953961
1583286094437,0.46203962,0.07039082,9.94569
1583286094487,0.4586427,0.06667837,9.941031
1583286094537,0.45142856,0.062467,9.939979
1583286094588,0.4677515,0.070309035,9.952611
1583286094637,0.46313405,0.075387634,9.953842
1583286094687,0.46026334,0.06863497,9.936206
1583286094738,0.45543414,0.0696535,9.931218
1583286094788,0.46256799,0.05987523,9.938171
1583286094837,0.45415118,0.057676,9.947181
1583286094888,0.4574805,0.064731315,9.946312
1583286094937,0.46737447,0.0696535,9.940355
1583286094987,0.4629605,0.0600715,9.931311
1583286095038,0.4629605,0.06174334,9.93747
1583286095087,0.46151718,0.06197586,9.938565
1583286095137,0.45031142,0.06622365,9.938272
1583286095188,0.455774,0.06111543,9.930918
1583286095237,0.45838404,0.06704347,9.933447
1583286095287,0.46738935,0.062467,9.94073
1583286095337,0.46181512,0.06663295,9.949247
